-----------------------------------------------------------------------------------------------------------------------------------
g++ CC = g++ -mavx2 -O3                                                                              Intel i5-6500 (Skylake family)
-----------------------------------------------------------------------------------------------------------------------------------
=============================== SKINNY-ZOCB
Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        45,        60,        75,        90,       105,       120,       135,       150,       165,       180,       195,       210,       225,       240,       255,       270,       285,       300,       315,       330,       345,       360,       375,       390,       405,       420,       435,       450,       465,       480,       495,       510,       525,       540,       555,       570,       585,       600,       615,       630,       645,       660,       675,       690,       705,       720,       735,       750,       765,       780,       795,       810,       825,       840,       855,       870,       885,       900,       915,       930,       945,       960,
                 160,    267.58,    244.55,    225.20,    208.86,    194.54,    182.13,    171.18,    161.49,    152.87,    145.10,    171.25,    163.37,    156.13,    158.63,    152.16,    153.94,    148.20,    150.53,    145.37,    147.91,    142.97,    145.23,    140.77,    142.96,    138.80,    140.91,    137.01,    139.02,    135.29,    137.40,    134.04,    136.03,    132.74,    134.61,    131.61,    133.40,    130.53,    132.25,    129.54,    131.26,    128.64,    126.12,    127.83,    125.37,    127.04,    124.77,    126.33,    124.21,    125.74,    123.60,    125.07,    123.04,    124.51,    122.53,    123.96,    122.09,    123.47,    121.64,    122.93,    121.21,    122.52,    120.81,    122.09,    120.43,    121.69,
                 176,    261.96,    241.40,    223.77,    208.67,    195.36,    183.75,    173.37,    164.06,    155.78,    148.16,    141.44,    165.25,    158.37,    152.06,    154.53,    148.64,    150.50,    145.27,    147.50,    142.71,    145.18,    140.73,    142.82,    138.68,    140.86,    137.04,    138.82,    135.25,    137.41,    133.97,    135.90,    132.77,    134.59,    131.58,    133.38,    130.48,    132.26,    129.53,    131.25,    128.62,    130.26,    127.81,    125.43,    127.05,    124.78,    126.34,    124.15,    125.69,    123.58,    125.10,    123.09,    124.49,    122.55,    123.94,    122.08,    123.44,    121.56,    122.97,    121.20,    122.51,    120.78,    122.07,    120.42,    121.69,    120.08,
                 192,    257.35,    238.65,    222.57,    208.32,    196.13,    185.11,    175.27,    166.32,    158.14,    151.07,    144.46,    138.41,    160.48,    154.16,    148.58,    150.92,    145.64,    147.40,    142.67,    144.99,    140.48,    142.81,    138.68,    140.76,    136.92,    138.99,    135.37,    137.36,    133.98,    135.90,    132.77,    134.62,    131.56,    133.39,    130.48,    132.26,    129.55,    131.20,    128.64,    130.27,    127.78,    129.37,    126.99,    124.60,    126.25,    124.13,    125.58,    123.58,    125.00,    122.97,    124.38,    122.46,    123.92,    122.06,    123.40,    121.62,    122.92,    121.18,    122.44,    120.75,    122.03,    120.37,    121.63,    120.07,    121.25,
                 208,    253.16,    236.19,    221.47,    208.31,    196.67,    186.15,    176.78,    168.32,    160.55,    153.60,    147.20,    141.25,    135.82,    156.34,    150.83,    145.46,    147.86,    143.04,    144.94,    140.43,    142.59,    138.53,    140.78,    136.94,    138.82,    135.41,    137.25,    133.95,    135.82,    132.73,    134.57,    131.59,    133.28,    130.47,    132.17,    129.52,    131.19,    128.58,    130.16,    127.79,    129.37,    126.99,    128.57,    126.27,    124.08,    125.69,    123.57,    125.04,    123.09,    124.53,    122.57,    123.98,    122.09,    123.44,    121.66,    122.97,    121.23,    122.54,    120.86,    122.07,    120.47,    121.68,    119.95,    121.29,    119.73,
                 224,    250.27,    234.37,    220.37,    208.21,    197.17,    187.34,    178.25,    170.21,    162.80,    155.96,    149.72,    143.97,    138.57,    133.63,    152.82,    147.75,    143.07,    145.28,    140.78,    142.63,    138.49,    140.67,    136.81,    138.90,    135.25,    137.28,    133.80,    135.86,    132.53,    134.42,    131.37,    133.28,    130.31,    132.16,    129.40,    131.16,    128.57,    130.15,    127.69,    129.36,    126.98,    128.55,    126.28,    127.77,    125.65,    123.48,    125.05,    123.09,    124.53,    122.57,    123.98,    122.13,    123.45,    121.63,    122.92,    121.23,    122.54,    120.77,    122.10,    120.48,    121.69,    120.06,    121.27,    119.76,    120.86,
                 240,    246.84,    232.75,    219.74,    208.02,    197.58,    188.26,    179.60,    171.72,    164.72,    158.11,    151.95,    146.35,    141.09,    136.16,    131.60,    149.70,    145.11,    140.56,    142.83,    138.89,    140.40,    136.48,    138.77,    135.05,    137.22,    133.83,    135.72,    132.55,    134.43,    131.34,    133.20,    130.26,    132.11,    129.45,    131.07,    128.55,    130.14,    127.62,    129.25,    126.89,    128.37,    126.18,    127.71,    125.59,    127.01,    124.85,    122.82,    124.28,    122.46,    123.90,    122.01,    123.42,    121.60,    122.84,    121.15,    122.47,    120.74,    122.01,    120.41,    121.60,    120.05,    121.26,    119.65,    120.89,    119.39,
                 256,    244.49,    230.84,    218.77,    207.97,    198.05,    189.09,    180.89,    173.38,    166.49,    160.07,    154.11,    148.56,    143.52,    138.69,    134.23,    130.02,    147.07,    142.81,    138.59,    140.76,    136.99,    138.69,    135.17,    137.09,    133.64,    135.57,    132.48,    134.40,    131.31,    133.09,    130.36,    132.04,    129.28,    131.02,    128.46,    130.18,    127.68,    129.24,    126.89,    128.38,    126.23,    127.72,    125.50,    127.03,    124.95,    126.42,    124.32,    122.34,    123.86,    122.01,    123.38,    121.55,    122.95,    121.11,    122.50,    120.75,    121.97,    120.39,    121.63,    120.08,    121.19,    119.75,    120.86,    119.34,    120.54,
                 272,    242.19,    229.53,    218.04,    207.79,    198.41,    189.81,    181.92,    174.70,    168.01,    161.87,    156.08,    150.74,    145.72,    140.96,    136.63,    132.47,    128.64,    144.66,    140.79,    136.93,    138.99,    135.42,    136.99,    133.64,    135.65,    132.53,    134.29,    131.21,    133.09,    130.31,    131.97,    129.28,    131.02,    128.49,    130.04,    127.64,    129.18,    126.83,    128.49,    126.19,    127.62,    125.49,    126.97,    124.88,    126.28,    124.29,    125.73,    123.75,    121.85,    123.26,    121.46,    122.87,    121.17,    122.50,    120.81,    122.07,    120.44,    121.61,    120.07,    121.31,    119.69,    120.91,    119.37,    120.57,    119.02,
                 288,    240.20,    228.26,    217.45,    207.74,    198.72,    190.55,    182.94,    175.94,    169.44,    163.43,    157.86,    152.65,    147.77,    143.22,    138.83,    134.72,    130.97,    127.34,    142.55,    138.86,    135.22,    137.28,    133.91,    135.48,    132.42,    134.23,    131.35,    133.04,    130.28,    131.92,    129.25,    130.75,    128.15,    129.83,    127.45,    129.04,    126.82,    128.40,    126.12,    127.60,    125.46,    126.88,    124.87,    126.25,    124.27,    125.63,    123.69,    125.11,    123.20,    121.35,    122.87,    120.99,    122.41,    120.73,    122.04,    120.34,    121.65,    120.05,    121.24,    119.67,    120.85,    119.30,    120.51,    119.05,    120.20,
                 304,    238.39,    227.00,    216.89,    207.60,    199.01,    191.16,    183.93,    177.09,    170.98,    165.07,    159.65,    154.45,    149.71,    145.16,    140.99,    136.94,    133.20,    129.60,    126.21,    140.65,    137.08,    133.90,    135.80,    132.54,    134.32,    131.24,    133.07,    130.25,    131.95,    129.25,    130.95,    128.38,    129.98,    127.60,    129.16,    126.83,    128.30,    126.11,    127.66,    125.45,    126.92,    124.87,    126.19,    124.23,    125.66,    123.58,    124.97,    123.18,    124.49,    122.72,    120.88,    122.30,    120.68,    121.98,    120.29,    121.53,    119.88,    121.23,    119.71,    120.88,    119.29,    120.53,    119.10,    120.18,    118.73,
